"","Longitude","Latitude","hours","wkd_hr_value","population_1000","road_class_2_300","AirQualityStationType","Countrycode"
"72",4.121389,51.978056,6,33.7592156862745,3102.089111,110.547173,"industrial","NL"
"73",4.227778,51.931944,8,36.8633204633204,6142.983398,0,"industrial","NL"
"74",4.227778,51.931944,9,33.798046875,6142.983398,0,"industrial","NL"
"75",4.227778,51.931944,14,25.3368217054264,6142.983398,0,"industrial","NL"
"76",4.227778,51.931944,15,27.2416988416988,6142.983398,0,"industrial","NL"
"77",4.227778,51.931944,16,28.9515384615385,6142.983398,0,"industrial","NL"
"78",4.227778,51.931944,17,30.4338461538462,6142.983398,0,"industrial","NL"
"79",4.227778,51.931944,18,33.3915384615384,6142.983398,0,"industrial","NL"
"80",4.227778,51.931944,19,37.5076923076923,6142.983398,0,"industrial","NL"
"81",4.227778,51.931944,20,39.6669230769231,6142.983398,0,"industrial","NL"
"82",4.227778,51.931944,21,38.2161538461538,6142.983398,0,"industrial","NL"
"83",4.227778,51.931944,22,37.3692307692307,6142.983398,0,"industrial","NL"
"84",4.227778,51.931944,10,30.0911196911197,6142.983398,0,"industrial","NL"
"85",4.227778,51.931944,11,26.951953125,6142.983398,0,"industrial","NL"
"86",4.227778,51.931944,7,37.6184615384615,6142.983398,0,"industrial","NL"
"87",4.227778,51.931944,12,25.5105058365759,6142.983398,0,"industrial","NL"
"88",4.227778,51.931944,13,24.4311023622047,6142.983398,0,"industrial","NL"
"89",4.227778,51.931944,0,32.627027027027,6142.983398,0,"industrial","NL"
"90",4.227778,51.931944,1,31.9559845559846,6142.983398,0,"industrial","NL"
"91",4.227778,51.931944,2,30.3868725868726,6142.983398,0,"industrial","NL"
"92",4.227778,51.931944,3,30.4476923076923,6142.983398,0,"industrial","NL"
"93",4.227778,51.931944,4,31.3584615384615,6142.983398,0,"industrial","NL"
"94",4.227778,51.931944,5,34.7838461538462,6142.983398,0,"industrial","NL"
"95",4.227778,51.931944,6,38.2142307692308,6142.983398,0,"industrial","NL"
"96",4.227778,51.931944,23,34.935,6142.983398,0,"industrial","NL"
"97",4.289172,52.078056,9,28.609,19552.472656,965.71051,"background","NL"
"98",4.289172,52.078056,10,24.3522891566265,19552.472656,965.71051,"background","NL"
"99",4.289172,52.078056,0,27.0294117647059,19552.472656,965.71051,"background","NL"
"100",4.289172,52.078056,1,24.4494166666667,19552.472656,965.71051,"background","NL"
"101",4.289172,52.078056,2,23.6081673306773,19552.472656,965.71051,"background","NL"
"102",4.289172,52.078056,3,23.2207171314741,19552.472656,965.71051,"background","NL"
"103",4.289172,52.078056,4,23.6522709163347,19552.472656,965.71051,"background","NL"
"104",4.289172,52.078056,5,26.7484462151394,19552.472656,965.71051,"background","NL"
"105",4.289172,52.078056,6,31.9305179282868,19552.472656,965.71051,"background","NL"
"106",4.289172,52.078056,7,34.4550597609562,19552.472656,965.71051,"background","NL"
"107",4.289172,52.078056,8,32.7666533864542,19552.472656,965.71051,"background","NL"
"108",4.289172,52.078056,21,27.9616470588235,19552.472656,965.71051,"background","NL"
"109",4.289172,52.078056,22,28.7708235294118,19552.472656,965.71051,"background","NL"
"110",4.289172,52.078056,23,27.5194117647059,19552.472656,965.71051,"background","NL"
"111",4.289172,52.078056,11,21.1855421686747,19552.472656,965.71051,"background","NL"
"112",4.289172,52.078056,12,19.09668,19552.472656,965.71051,"background","NL"
"113",4.289172,52.078056,13,18.2982,19552.472656,965.71051,"background","NL"
"114",4.289172,52.078056,14,18.107619047619,19552.472656,965.71051,"background","NL"
"115",4.289172,52.078056,15,18.8401960784314,19552.472656,965.71051,"background","NL"
"116",4.289172,52.078056,16,20.7650787401575,19552.472656,965.71051,"background","NL"
"117",4.289172,52.078056,17,23.4002352941177,19552.472656,965.71051,"background","NL"
"118",4.289172,52.078056,18,24.7940784313726,19552.472656,965.71051,"background","NL"
"119",4.289172,52.078056,19,26.2330588235294,19552.472656,965.71051,"background","NL"
"120",4.289172,52.078056,20,27.0023137254902,19552.472656,965.71051,"background","NL"
"121",4.316125,52.075,11,32.3540392156863,19461.841797,0,"traffic","NL"
"122",4.316125,52.075,0,31.1004347826087,19461.841797,0,"traffic","NL"
"123",4.316125,52.075,1,28.2412173913044,19461.841797,0,"traffic","NL"
"124",4.316125,52.075,10,35.2089883268483,19461.841797,0,"traffic","NL"
"125",4.316125,52.075,2,25.90688,19461.841797,0,"traffic","NL"
"126",4.316125,52.075,3,25.25136,19461.841797,0,"traffic","NL"
"127",4.316125,52.075,4,26.89648,19461.841797,0,"traffic","NL"
"128",4.316125,52.075,5,32.27248,19461.841797,0,"traffic","NL"
"129",4.316125,52.075,6,39.49516,19461.841797,0,"traffic","NL"
"130",4.316125,52.075,7,44.53532,19461.841797,0,"traffic","NL"
"131",4.316125,52.075,8,43.544140625,19461.841797,0,"traffic","NL"
"132",4.316125,52.075,9,39.3754826254826,19461.841797,0,"traffic","NL"
"133",4.316125,52.075,22,38.2451162790698,19461.841797,0,"traffic","NL"
"134",4.316125,52.075,23,36.12,19461.841797,0,"traffic","NL"
"135",4.316125,52.075,15,32.7129961089494,19461.841797,0,"traffic","NL"
"136",4.316125,52.075,12,31.4941568627451,19461.841797,0,"traffic","NL"
"137",4.316125,52.075,13,30.8601176470588,19461.841797,0,"traffic","NL"
"138",4.316125,52.075,14,31.610390625,19461.841797,0,"traffic","NL"
"139",4.316125,52.075,19,39.2167829457364,19461.841797,0,"traffic","NL"
"140",4.316125,52.075,16,35.3511240310077,19461.841797,0,"traffic","NL"
"141",4.316125,52.075,17,38.2545736434109,19461.841797,0,"traffic","NL"
"142",4.316125,52.075,18,39.1638372093023,19461.841797,0,"traffic","NL"
"143",4.316125,52.075,20,39.6936821705426,19461.841797,0,"traffic","NL"
"144",4.316125,52.075,21,39.1997286821705,19461.841797,0,"traffic","NL"
"145",4.326953,51.911389,16,33.0561003861004,10618.644531,0,"traffic","NL"
"146",4.326953,51.911389,17,33.9277692307692,10618.644531,0,"traffic","NL"
"147",4.326953,51.911389,3,30.6033976833977,10618.644531,0,"traffic","NL"
"148",4.326953,51.911389,0,32.8055870445344,10618.644531,0,"traffic","NL"
"149",4.326953,51.911389,1,30.5972289156626,10618.644531,0,"traffic","NL"
