"","Longitude","Latitude","wkd_day_value","wkd_night_value","population_1000","road_class_2_300","AirQualityStationType","Countrycode"
"1",3.749458,51.295278,15.4864469273743,16.8070457902511,440.064819,0,"background","NL"
"2",3.916947,51.635556,14.6973273441886,16.8982727725236,492.45871,0,"background","NL"
"3",4.121389,51.978056,28.5770639616792,30.6000982800982,3102.089111,110.547173,"industrial","NL"
"4",4.227778,51.931944,31.3352681039249,33.0907077515648,6142.983398,0,"industrial","NL"
"5",4.289172,52.078056,23.6777397454031,26.0162354134957,19552.472656,965.71051,"background","NL"
"6",4.316125,52.075,36.301097832129,30.6981079691517,19461.841797,0,"traffic","NL"
"7",4.326953,51.911389,36.0099806843267,35.1336372501219,10618.644531,0,"traffic","NL"
"8",4.35527754,51.86610794,28.0764153548743,27.8346153846154,7604.581543,144.447342,"industrial","NL"
"9",4.360286,51.435,18.4743059805285,18.8791164658635,910.610413,0,"background","NL"
"10",4.360564,52.039722,27.3104966887418,28.0080512820514,12157.306641,0,"background","NL"
"11",4.401389,51.921111,32.0517810599478,32.9812278031456,13083.150391,0,"background","NL"
"12",4.431111,51.938056,40.4343543046357,37.4605288461539,7521.097168,0,"traffic","NL"
"13",4.45084143,51.78749847,19.1511604664076,20.5510534274193,575.486633,0,"background","NL"
"14",4.461667,51.926944,48.9234201773836,40.2101833976834,8921.310547,1139.474243,"traffic","NL"
"15",4.480289,51.915,32.8563143331487,32.2112463485881,7720.691406,25.13953,"background","NL"
"16",4.48111105,51.89111328,45.8529950083194,35.8126984126984,7972.156738,1300.583496,"traffic","NL"
"17",4.48749971,51.89389038,29.4812969663235,28.6269379844961,8095.754883,0,"background","NL"
"18",4.510286,52.298056,14.5438901220866,15.424560546875,306.152588,0,"background","NL"
"19",4.513889,51.652778,18.9024395047833,20.429653092006,187.82988,0,"background","NL"
"20",4.57472229,51.86888885,42.9251659292036,36.0051923076923,3876.730225,0,"traffic","NL"
"21",4.601922,52.463014,28.8252462707572,25.6964774951076,4523.410156,0,"industrial","NL"
"22",4.603333,52.493889,18.5060511363636,21.204377766847,4416.48291,0,"industrial","NL"
"23",4.642319,52.370511,30.9508907887479,23.9409734939759,13181.339844,1224.370483,"traffic","NL"
"24",4.708214,51.800658,24.4275808681227,23.5958172147002,7610.720703,0,"background","NL"
"25",4.715072,52.32745,24.9964066852368,24.2761904761905,654.682983,0,"background","NL"
"26",4.73,52.4,20.2119598550321,20.5702859912748,1115.037109,0,"background","NL"
"27",4.766678,52.287428,24.41595264938,21.6559012345679,3064.996582,0,"background","NL"
"28",4.77,52.43,26.9006779661017,28.5148238747554,3717.570312,417.726746,"industrial","NL"
"29",4.773589,52.333561,31.3485277777777,30.6541869522883,2810.755859,577.614929,"background","NL"
"30",4.780847,51.603333,24.3457805660928,24.540790842872,9030.53125,1563.544189,"background","NL"
"31",4.79361963,52.37888718,22.2143055555555,21.8901210653753,8741.041016,0,"background","NL"
"32",4.8166666,52.45000076,22.6600909607732,23.5886038480513,8855.042969,1121.280273,"background","NL"
"33",4.82500839,51.59360886,37.6153754266211,31.786183745583,6295.133301,1446.016357,"traffic","NL"
"34",4.832064,52.420219,31.8287587168758,31.6113326848249,8406.660156,0,"industrial","NL"
"35",4.838336,52.138889,16.6274441900401,16.9305779770802,94.827957,0,"background","NL"
"36",4.84501123,52.38111115,50.1101632882883,38.7274963108707,15104.236328,0,"traffic","NL"
"37",4.86084175,52.3758316,48.7646566164153,38.5296548371415,15662.719727,0,"traffic","NL"
"38",4.866208,52.359714,27.5739361702128,23.417999019127,15160.486328,0,"background","NL"
"39",4.87611961,52.38500214,53.8364190687362,39.7185472154963,15251.370117,0,"traffic","NL"
"40",4.88805819,52.3900032,39.7832361920622,31.1189083820662,10622.504883,1148.446167,"traffic","NL"
"41",4.9000001,52.35805511,38.6723972988183,30.0305911330049,15616.74707,702.957397,"traffic","NL"
"42",4.90500307,52.3730545,31.3344875346261,27.3552821997105,13926.317383,0,"background","NL"
"43",4.923431,51.974639,17.9528977272727,18.8808630952381,560.473755,0,"background","NL"
"44",4.94389725,52.38888931,25.4534040178571,23.2381720430107,8984.714844,0,"background","NL"
"45",4.988614,52.203056,35.5425731809311,30.5160029498525,715.780273,0,"traffic","NL"
"46",4.98889446,52.32138824,24.4917895908712,21.3509891196835,7463.692383,0,"background","NL"
"47",5.050842,52.804722,12.1550473537604,13.2792200695479,92.601936,2.238139,"background","NL"
"48",5.121114,52.068889,34.2473509252914,27.839542662116,12526.786133,0,"traffic","NL"
"49",5.125286,52.106111,31.834647534132,25.9355155155156,13195.731445,1025.328125,"traffic","NL"
"50",5.128333,52.102222,23.328289983398,22.3040977261733,13772.165039,997.213623,"background","NL"
"51",5.148903,51.519444,20.0341266741072,24.8374079528719,309.994659,0,"background","NL"
"52",5.181553,52.235083,26.8008922651933,20.672692121798,12118.663086,931.839966,"traffic","NL"
"53",5.235903,52.257361,20.5189429994466,17.686472361809,4215.5625,0,"background","NL"
"54",5.393333,51.4075,19.4779038087295,21.5138506876228,6050.736328,0,"background","NL"
"55",5.4289,51.44528,33.60234226689,26.6980369989723,4133.082031,0,"traffic","NL"
"56",5.472783,51.469722,27.0982510344828,23.3904196816208,9200.098633,0,"traffic","NL"
"57",5.57349157,52.91691589,10.3301154604337,10.0640364711681,17.729673,0,"background","NL"
